# warp_revision	abea51cd1e102b363935f1b25ef03d335bc7b36f
# vscode_revision	ae0e51e8241f55c818f43e816fda2fcfd2a53ea3
# neovim_revision	d06bac614c2bc09db62e439b2e42ac7101653333
# selector_kind	selector	id	grammar	language_id	built_in_lsp	source
filename	.bashrc	shell	shell	-	-	warp-grammar
filename	.bash_profile	shell	shell	-	-	warp-grammar
filename	.zshrc	zsh	shell	zsh	-	neovim
filename	.zsh_profile	shell	shell	-	-	warp-grammar
filename	.zprofile	zsh	shell	zsh	-	neovim
filename	BUILD	bzl	starlark	bzl	-	neovim
filename	WORKSPACE	bzl	starlark	bzl	-	neovim
filename	Dockerfile	dockerfile	dockerfile	dockerfile	-	vscode
filename	Containerfile	dockerfile	dockerfile	dockerfile	-	vscode
filename	dockerfile	dockerfile	dockerfile	dockerfile	-	neovim
filename	containerfile	dockerfile	dockerfile	-	-	warp-grammar
filename_prefix	Dockerfile.	dockerfile	dockerfile	-	-	warp-grammar
filename_prefix	Containerfile.	dockerfile	dockerfile	-	-	warp-grammar
extension	rs	rust	rust	rust	Rust	warp-lsp
extension	go	go	golang	go	Go	warp-lsp
extension	yml	yaml	yaml	yaml	-	vscode
extension	yaml	yaml	yaml	yaml	-	vscode
extension	py	python	python	python	Python	warp-lsp
extension	py3	python	python	-	-	warp-grammar
extension	pyw	python	python	python	-	vscode
extension	pyi	python	python	python	-	vscode
extension	js	javascript	javascript	javascript	JavaScript	warp-lsp
extension	cjs	javascript	javascript	javascript	JavaScript	warp-lsp
extension	mjs	javascript	javascript	javascript	JavaScript	warp-lsp
extension	jsx	javascriptreact	jsx	javascriptreact	JavaScriptReact	warp-lsp
extension	tsx	typescriptreact	tsx	typescriptreact	TypeScriptReact	warp-lsp
extension	ts	typescript	typescript	typescript	TypeScript	warp-lsp
extension	cts	typescript	typescript	typescript	-	vscode
extension	mts	typescript	typescript	typescript	-	vscode
extension	java	java	java	java	-	vscode
extension	groovy	groovy	java	groovy	-	vscode
extension	gvy	groovy	java	groovy	-	vscode
extension	gy	java	java	-	-	warp-grammar
extension	gsh	java	java	-	-	warp-grammar
extension	cpp	cpp	cpp	cpp	Cpp	warp-lsp
extension	cxx	cpp	cpp	cpp	Cpp	warp-lsp
extension	cc	cpp	cpp	cpp	Cpp	warp-lsp
extension	h	cpp	cpp	cpp	Cpp	warp-lsp
extension	hh	cpp	cpp	cpp	Cpp	warp-lsp
extension	hpp	cpp	cpp	cpp	Cpp	warp-lsp
extension	hxx	cpp	cpp	cpp	Cpp	warp-lsp
extension	H	cpp	cpp	cpp	Cpp	warp-lsp
extension	h++	cpp	cpp	cpp	-	vscode
extension	c	c	c	c	C	warp-lsp
extension	C	c	-	c	C	warp-lsp
extension	sh	shellscript	shell	shellscript	-	vscode
extension	zsh	shellscript	shell	shellscript	-	vscode
extension	bash	shellscript	shell	shellscript	-	vscode
extension	command	shell	shell	-	-	warp-grammar
extension	cs	csharp	csharp	csharp	-	vscode
extension	html	html	html	html	-	vscode
extension	htm	html	html	html	-	vscode
extension	css	css	css	css	-	vscode
extension	json	json	json	json	-	vscode
extension	jq	jq	jq	jq	-	neovim
extension	tf	hcl	hcl	-	-	warp-grammar
extension	hcl	hcl	hcl	hcl	-	neovim
extension	tfvars	terraform-vars	hcl	terraform-vars	-	neovim
extension	lua	lua	lua	lua	-	vscode
extension	nix	nix	nix	nix	-	neovim
extension	rb	ruby	ruby	ruby	-	vscode
extension	php	php	php	php	-	vscode
extension	phtml	php	php	php	-	vscode
extension	toml	toml	toml	toml	-	neovim
extension	swift	swift	swift	swift	-	vscode
extension	kt	kotlin	kotlin	kotlin	-	neovim
extension	kts	kotlin	kotlin	kotlin	-	neovim
extension	scala	scala	scala	scala	-	neovim
extension	sbt	sbt	scala	sbt	-	neovim
extension	sc	scala	scala	-	-	warp-grammar
extension	ps1	powershell	powershell	powershell	-	vscode
extension	pwsh	powershell	powershell	-	-	warp-grammar
extension	ex	elixir	elixir	-	-	warp-grammar
extension	exs	elixir	elixir	elixir	-	neovim
extension	sql	sql	sql	sql	-	vscode
extension	bzl	bzl	starlark	bzl	-	neovim
extension	bazel	bzl	starlark	bzl	-	neovim
extension	m	objective-c	objective-c	objective-c	-	vscode
extension	mm	objective-cpp	objective-c	objective-cpp	-	vscode
extension	xml	xml	xml	xml	-	vscode
extension	vue	vue	vue	vue	-	neovim
extension	dockerfile	dockerfile	dockerfile	dockerfile	-	vscode
extension	md	markdown	markdown	markdown	-	vscode
extension	markdown	markdown	markdown	markdown	-	vscode
